"","island","cover_type","Kfs","notes","sheet","source"
"129","Kauai","forests",116.6363681,"Old","70e51488-1712-4a31-9256-23f4f7ad26e8","Fortini_2017"
"130","Kauai","forests",188.0229521,"Old","d9f55790-5f9c-4e73-9b12-dc20174865ab","Fortini_2017"
"131","Kauai","forests",1.987215509,"Old","11cda06e-1beb-4ef4-b933-d92afd39d451","Fortini_2017"
"132","Kauai","forests",507.5022377,"Old","9ac3346c-bc19-4c05-bb44-8f704a18b61c","Fortini_2017"
"133","Kauai","forests",676.1509507,"Old","32781e3d-32a4-4146-aea7-b42fb2910370","Fortini_2017"
"134","Kauai","forests",93.85934263,"Old","4fe7782b-b495-40fb-9940-dd0bbe4be59a","Fortini_2017"
"135","Kauai","forests",284.7756925,"Old","370ae325-e0a6-4c03-8662-85b4faf73d95","Fortini_2017"
"136","Kauai","forests",159.7080087,"Old","dbd3e881-011f-4b82-92c3-0c5c46133858","Fortini_2017"
"137","Hawaii","forests",467.4325582,"Young","39759a62-8bd3-47cd-a9db-849fe0c935ee","Fortini_2017"
"138","Hawaii","forests",505.2674134,"Young","b989ffe7-f629-427f-876f-354e0c983466","Fortini_2017"
"139","Hawaii","forests",567.0455868,"Young","cec7b6b1-c346-4c3d-b0e8-316981a52666","Fortini_2017"
"140","Hawaii","forests",636.8751615,"Young","5b2cc920-9223-4055-af85-15d0ad248f56","Fortini_2017"
"141","Hawaii","forests",1203.625644,"Young","8bb9e26d-e4cd-47e4-902d-962cdd79e92d","Fortini_2017"
"142","Hawaii","forests",826.8548425,"Young","477f5c63-b7d4-43df-b8e2-dd83a8b4954c","Fortini_2017"
"143","Hawaii","forests",1532.69387,"Young","00b3106c-548c-4147-849c-0855e7c1a8ee","Fortini_2017"
"144","Hawaii","forests",426.9333805,"Young","5084b467-5a0c-4bec-86fe-9d77ff0a48fa","Fortini_2017"
"145","Hawaii","forests",639.6584348,"Young","59d2c55e-d131-4d39-8cab-85c7a3eeb647","Fortini_2017"
"146","Hawaii","forests",623.4754512,"Young","bc50ff59-c3fb-4dd9-9d2e-6d9dae6a1076","Fortini_2017"
"147","Hawaii","forests",1164.675916,"Young","c1c4324d-2797-458d-85a6-d09251465bcc","Fortini_2017"
"148","Hawaii","forests",1017.852964,"Young","903cc1e6-a3e6-4b28-ae01-77808ae3f65e","Fortini_2017"
